场景,名称,描述
客厅,沙发,"暖暖的黄色,长方形,双人沙发，可以躺一个人,沙发背上有一颗大爱心"
客厅,钢琴,"亮亮的黄色,长方形,可以两个人坐着弹,钢琴喜欢穿绿色的雨鞋"
客厅,电视机,"橙红色绿色的边框,正方形,和小女孩坐着一样大，但很胖,电视带着耳机觉得家里很吵"
客厅,电话,"绿色,底座圆锥形,需要两只手才能拿得起大话筒"
客厅,钟柜,"红棕色抽屉绿色,上小下大的梯形,有两个人那么高,柜子里有只小猪会生金币"
客厅,摇摇马,"薄荷色坐凳黄色,独角兽的形状,一个小女孩坐刚刚好,摇摇马喜欢偷吃胡萝卜"
客厅,坐垫,"蓝紫色,圆形,一个小女孩坐刚刚好"
客厅,棋盘,"红粉相间,正方形,有九个格子，3*3"
客厅,绿植,"绿色盆是草莓红,叶子很长很长，竖起来,比一个小女孩还要高,绿植的盆长得和草莓很像"
客厅,灯,"暖黄色,球形,一个大球，两个小球"
客厅,留声机,"棕色,喇叭形状,喇叭比小女孩的脸还大"
客厅,矮柜,"棕色,长方形矮柜,没有小女孩高,有两个抽屉"
客厅,钢琴边的窗户,"绿色边框,半圆形,和钢琴一样大"
客厅,矮柜边的窗户,"绿色边框,长方形,和矮柜一样大,有棕色的百叶窗"
