节气, 关键信息
"立春", "春天; 新生; 花开; 温暖; 播种; 新年; 农事; 春风; 清新; 祭祀"
"雨水", "细雨; 滋润; 农耕; 春雨; 萌芽; 温和; 绿色; 泥土; 梅雨; 转暖"
"惊蛰", "春雷; 惊醒; 蛰伏; 生机; 气温回升; 花儿; 动物苏醒; 自然醒来; 绿意; 清明前夕"
"春分", "昼夜平分; 春光; 花开; 暖阳; 种植; 踏青; 和风; 鸟鸣; 春意盎然; 晴朗"
"清明", "扫墓; 悼念; 春意; 清爽; 风景; 踏青; 柳绿; 油菜花; 思亲; 清凉"
"谷雨", "春末; 播种; 麦类; 灌溉; 花果; 茶叶; 春暖; 雨水; 耕作; 田园"
"立夏", "夏日; 炎热; 汗水; 水果; 阳光; 绿荫; 暑期; 荷花; 凉爽; 游泳"
"小满", "麦收; 粮食; 成熟; 夏收; 鲜果; 炎热; 滋润; 雨水; 绿意; 生长"
"芒种", "播种; 夏种; 稻田; 芒果; 麦田; 烈日; 夏至; 农耕; 晴天; 粮食"
"夏至", "最长日; 炎热; 阳光; 夏天; 清凉; 凉风; 西瓜; 荷花; 泳池; 夜市"
"小暑", "热浪; 夏日; 阴凉; 冷饮; 凉爽; 水果; 雨季; 炎热; 夏夜; 游泳"
"大暑", "酷暑; 烈日; 炎热; 消暑; 空调; 游泳; 冰淇淋; 夏雨; 森林; 清凉"
"立秋", "秋天; 凉爽; 收获; 丰收; 果实; 金秋; 稻谷; 凉风; 落叶; 秋高气爽"
"处暑", "暑去凉来; 秋凉; 秋季; 收获; 果实; 开学; 凉爽; 秋风; 清凉; 菊花"
"白露", "露水; 凉爽; 秋意; 金秋; 落叶; 果实; 丰收; 清晨; 早秋; 晨露"
"秋分", "秋天; 昼夜平分; 凉爽; 丰收; 金黄; 果实; 落叶; 秋高气爽; 秋意浓; 秋风"
"寒露", "凉风; 秋末; 寒意; 落叶; 秋色; 果实; 丰收; 秋天; 凉爽; 金秋"
"霜降", "霜冻; 寒冷; 秋尾; 凉爽; 落叶; 果实; 丰收; 金秋; 秋色; 冬天前夕"
"立冬", "冬天; 寒冷; 初冬; 冬装; 暖气; 雪花; 落叶; 果实; 冬眠; 冬季"
"小雪", "雪花; 寒冷; 冬天; 初雪; 暖气; 果实; 冬装; 冬季; 冷风; 雪景"
"大雪", "白雪; 寒冷; 冬季; 雪景; 暖气; 火炉; 冬装; 雪地; 冰雕; 雪球"
"冬至", "最长夜; 冬天; 饺子; 寒冷; 暖气; 冬至粥; 火锅; 冬眠; 冬装; 冬季"
"小寒", "寒冷; 冬季; 凛冽; 冻结; 暖气; 冬装; 寒风; 冬天; 雪景; 防寒"
"大寒", "寒冷; 冬季; 酷寒; 冰冻; 暖气; 雪花; 冬装; 冬天; 寒流; 冷风"

