npcID,npcName,npcDescription
1,红心皇后,"表面强悍，手段毒辣
缺乏自信所以控制欲极强
但内心极其渴望关怀
当做错了事情的时候，会变本加厉的将其破坏到极致"
2,扑克骑士,"黑白骑士，被红心皇后夺走了心
知道如何恢复自己的内心，但不愿意尝试
深爱着红心皇后，认为把心放在她那里会让她更有安全感，于是自愿献出了心脏
在没有心的情况下孜孜不倦的为红心皇后服务  "
3,猪娃,"长不大的小猪娃
由于自身的缺陷，为了生存摸索出了一身探索丛林的本事
梦想自己是个行侠仗义的大侠
身边没有好朋友，于是和大自然极其亲近，和很多小型昆虫成为了朋友   "
4,柴郡猫,"一只永远戴着笑脸假面的大猫
因为从小就很大一只，长得像狮子，所有人都惧怕他，所以给自己做了一个大大的笑脸假面
戴的时间太长导致假面和脸长到了一起，躲在废弃工厂里迷失了自我
不会说话，出现消失的很突然，能提供很多关于黑夜的讯息
被逗猫棒治愈"
5,鱼侍从和青蛙侍从,"两位高傲又做作的博物馆管理员，眼睛永远朝天看
其实他们是因为天生就这样，眼睛没有办法向下看，但久而久之他们接受了自己，真的变成了傲慢无礼的样子，生活的很快乐
博物馆的天花板都是镜子，这样他们就能看到彼此，也能看到各种各样来博物馆的人"
6,猛兽哈巴狗,"力大无穷但是很单纯很幼稚
在迪狮尼担任售票员和保安，喜欢吓唬小朋友，但是没有任何恶意
经常会把树枝等条状物当成骨头，能一个人玩很久，然后才发现不是骨头，又会假装无事发生恢复威猛严肃的样子"
7,公爵夫人,"一个神秘的老女人，能看透人心的神秘笑容
“一切事皆能引申出一个秘密”
一个经常说毒鸡汤的女人"
8,跳蚤,"群体动物，长得一模一样，总是会突然多出一只又突然多出一只，影分身之术
很街头，很接地气，很会做生意，滔滔不绝"
9,蓝色毛毛虫,"上了岁数的博学老头，说话文邹邹的，老学究
环抱着胳膊，安静地吸着一个很长的水烟管
教学过程中很怕被打断，会记不起讲到哪里
看着很严肃，但偶尔会卖萌，参考邓布利多卖萌"
10,三月兔,"一只双重人格的疯兔子，热爱生活却讨厌自己
对待他人热情洋溢的同时会突然为自己激动不止的话语而感到很自责
喜欢用甜点为他人生活带去快乐，但是自己其实不喜欢吃甜食"
11,疯帽匠,"头上戴着一顶很大很高的帽子，看不见脸
严重社恐，不敢跟人沟通，所以假装自己是机器人，所有的表达都是生硬的语句，扮演一个角色会让他感到舒适
对于制作服饰的细节非常偏执"
12,老年学者鹦鹉,"上了岁数的老鹦鹉，带着圆镜片小眼镜，听力和视力都不好
经常听不清别人说的话，会重复别人的话，有很多谐音梗
喜欢做剪报，收藏了很多镇子上的回忆"
13,火烈鸟和刺猬,"槌球马戏团的最佳拍档，一唱一和，没头脑和不高兴
大多数时候刺猬都盘在火烈鸟的脖子上，火烈鸟带着一个击剑头盔
会表演把刺猬甩出去，并且用脑袋击打他，飞行绕场一圈"
14,小蜥蜴比尔,"表面很小一只，看起来呆呆的，经常受人欺负，从不反抗。
但是实则是个肌肉猛男，不愿意把力气用在欺负人上面，在关键时刻会挺身而出。
并不把平时跟他打闹欺负他的人太当回事，王之蔑视，隐藏的王者"
